discord_id,discord_name,player_tag,player_name,town_hall,clan
748683076225204326,*Spark Plug*#5466,#2CY8YOUL,*SPARK PLUG #2*,12,*G@ME CHANGERS*
748683076225204326,*Spark Plug*#5466,#2LVCJPV2,*SPARK PLUG*,13,*G@ME CHANGERS*
383649949579083777,Alien X#7401,#LQLR80LJR,Crashopper 2,6,*G@ME CHANGERS*
383649949579083777,Alien X#7401,#2JL8QL2LQ,Alien X,13,*G@ME CHANGERS*
347722449187635201,Alien10az#9009,#2RLVL88QV,Alien10az,11,Stormcloaks
820725835261804586,BlueStar#8153,#Q9QL8JLC,BlueStar,12,*G@ME CHANGERS*
757707805275717664,Brufen#1842,#2L0V0RUPQ,Dmx,12,*G@ME CHANGERS*
557012241497456640,CarNag3#4550,#PGUR0RQLQ,CarNag3,13,*G@ME CHANGERS*
342998805546926082,Dirtypeanuts#4822,#2YGQV2CRV,Dirtypeanuts,13,DANGER ZONE
294785868793905152,EvanTheVile#1866,#289LR0JC,Evan The Vile,13,+Guilded+
600927541972434945,FALLEN#5062,#28QCGPVJ2,Fallen #2,13,DANGER ZONE
600927541972434945,FALLEN#5062,#JCCGJP9C,CHOYUN #3,13,The Movement
608871336802254848,Fun.#1136,#Q88QQ8LP,Fun Dude,11,Stormcloaks
608871336802254848,Fun.#1136,#Q88QJURU,Snork,13,Stormcloaks
529541121978794026,Gasmasklax#8881,#JGYJJROP,Alec,13,DANGER ZONE
706967643764162652,Glock#7827,#Q8YLPUL80,Baby Glock,3,DANGER ZONE
706967643764162652,Glock#7827,#LY8UVGCU8,Sig Sauer,10,Stormcloaks
706967643764162652,Glock#7827,#QYLLQGJJ,Glock,13,DANGER ZONE
735668789500444773,Jacqueline#5204,#Q92RU89J,Jacqueline,12,Stormcloaks
700828289421279333,JoeMama#3873,#LRPUL90UR,JoeMama,12,*G@ME CHANGERS*
541002005531983893,Johannes#8085,#R2CQ99VR,Johannes,13,DANGER ZONE
541002005531983893,Johannes#8085,#PRV9QP88,Jakob,13,DANGER ZONE
487057208845139970,Jordan24#0726,#2QLJUYQVJ,Bubbathebest3,13,DANGER ZONE
487057208845139970,Jordan24#0726,#YVVVCG0GJ,Jordan24,13,DANGER ZONE
548003762149785611,KV#7755,#8YP9JGC9Q,KVonnegutIII,13,*G@ME CHANGERS*
166995978266738698,KnightMares#3793,#Q0V8CV8G,KniGhTMaReS,13,DANGER ZONE
494306358158426112,MaXimumLava#0867,#U8UGCJ0U,MediumMagma,12,Beasthole Utd®
494306358158426112,MaXimumLava#0867,#PPY9L0Y8G,MaXimumLava #2,12,Beasthole Utd®
494306358158426112,MaXimumLava#0867,#PL0GUGQQU,MaXimumLava #4,12,Beasthole Utd®
494306358158426112,MaXimumLava#0867,#29LPUQ89J,MaXimumLava,13,Stormcloaks
494306358158426112,MaXimumLava#0867,#82VRQRCPG,MiniMumWater,13,*G@ME CHANGERS*
494306358158426112,MaXimumLava#0867,#92QVGC2RY,MaXimumLava #3,13,*G@ME CHANGERS*
494306358158426112,MaXimumLava#0867,#P2U9U9JJG,MaXimumLava Jr,13,DANGER ZONE
284073434428997632,MarcoPablo#2596,#GJ8QJLJR,FLCL,13,DANGER ZONE
409575901135765504,Mr.Guzzler#8229,#9CYQRC8G8,Get Hydrated,12,Viper's Nest
260186084174987276,OXNXD#1412,#99RU099YG,Lil Boat,10,Stormcloaks
384491690410639370,Papi Juan#0001,#Q8PG2U2V,Papi Juan,13,*G@ME CHANGERS*
384491690410639370,Papi Juan#0001,#8CJCC00G,Papi Juan,13,DANGER ZONE
384491690410639370,Papi Juan#0001,#8089C09L,Papi Juan 3,13,Anstaloopeezi
711006914334425128,Philaxander#6995,#229QUQJY0,Jonathan,13,DANGER ZONE
751878304037863465,Presto1515#3189,#Q8CY8GRG,40days40nights,12,Stormcloaks
751878304037863465,Presto1515#3189,#98U2UP8PU,Revelation,13,*G@ME CHANGERS*
430495626795417600,Razi#1067,#22UCUORQY,Demonkitten™,12,Anstaloopeezi
689125280735952971,SK83R#8232,#LUVVUCY2U,SK83r114,8,Anstaloopeezi
689125280735952971,SK83R#8232,#LJUQL82LR,SK83r115,8,Stormcloaks
689125280735952971,SK83R#8232,#LGY890R0P,SK83r113,11,*G@ME CHANGERS*
689125280735952971,SK83R#8232,#9YGGVYJV,SK83r112,13,*G@ME CHANGERS*
559130217025765376,Sparty#3040,#RJJUL2R8,Patrick96HN1,13,DANGER ZONE
559130217025765376,Sparty#3040,#8VLQQCGCY,Mini Pat,13,DANGER ZONE
727611835930378260,TNT7680#2867,#YVQ8JL08L,TNT 2.0,10,Anstaloopeezi
727611835930378260,TNT7680#2867,#YYU2QVY8P,TNT,13,*G@ME CHANGERS*
586591638160146452,Theclawmaster#4058,#U8GPRY8U,theclawmaster,13,DANGER ZONE
586591638160146452,Theclawmaster#4058,#2U92P2QPY,monsterkiller,13,Night Raiderz
223573372531900429,X-League#5421,#JVYGJ0VV,X--League,12,Anstaloopeezi
595009232827580437,YYoshiiiiii#6791,#9YCC0VJGU,base burner,13,DANGER ZONE
714896970115842159,[ø℘]•jσѕєρнк11•THEKING#1771,#G9CG2YCJ,Klein11,13,DANGER ZONE
727707974356959234,bones.92#3131,#89P8C8L0,bones.92,11,Stormcloaks
694590519350919248,exoticcheesecake#4984,#LYVCCLJYC,ExoticCheems,11,Stormcloaks
327826401946501132,hu!b#8510,#YJPRYLVJ,Melon,13,*G@ME CHANGERS*
761694098436128768,jared_coc#7644,#PRRCV02Y,Jared,12,Stormcloaks
761694098436128768,jared_coc#7644,#8VGRQVLYG,Lil Jared,13,*G@ME CHANGERS*
761694098436128768,jared_coc#7644,#Y829GVRRL,Invisible Man,13,*G@ME CHANGERS*
591460635787919373,jessc1585#9688,#8UGPGLRP,jessc1585,13,DANGER ZONE
498958076775235585,joelsexson#6569,#8JJ208PU,joel,10,None
323148470376726551,joxstar#0857,#Q92LP88Q,JoxstarSr,12,Stormcloaks
323148470376726551,joxstar#0857,#20L90YGPJ,Ice,13,Anstaloopeezi
610688204395380757,michael77#4809,#L0VC0Y0JV,*[M]ichaeL*,8,Anstaloopeezi
610688204395380757,michael77#4809,#JPQ9QCYU,michael,10,CIKALAN WAR
610688204395380757,michael77#4809,#8CJJRYVLY,Libertyy,11,CIKALAN WAR
610688204395380757,michael77#4809,#JVCVCUC,PepsiCola,12,CIKALAN WAR
610688204395380757,michael77#4809,#UL908YC9,Michael2,13,Night Raiderz
761702287415967774,nidhs#0227,#29Y20Y28J,nidhs,13,*G@ME CHANGERS*
585836180466302976,rosebud#2057,#YGV9J90JP,Rosebud,11,Dartaholics
458699850133798912,scottinoo#2090,#29RC0P9UG,scottino,11,CIKALAN WAR
454042446674788353,staymus#6969,#29PVRQGC8,stay cap,13,DANGER ZONE
